Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x24_Socket,TE_2-1734839-3_1x23-1MP_P0.5mm_Horizontal,75.832265,-30.319144,90,bottom
C1,0.1u,C_0402_1005Metric,55.522265,-29.459144,180,top
C2,0.1u,C_0402_1005Metric,58.922265,-33.569144,-90,top
C3,100n,C_0402_1005Metric,74.922265,-29.319144,0,top
C4,4.7u,C_0402_1005Metric,61.502265,-26.769144,180,top
C5,100n,C_0402_1005Metric,67.222265,-38.339144,-90,top
C6,100n,C_0402_1005Metric,74.922265,-30.319144,0,top
C7,100n,C_0402_1005Metric,74.922265,-28.319144,0,top
C8,100n,C_0402_1005Metric,74.922265,-27.319144,0,top
C9,100n,C_0402_1005Metric,65.522265,-22.219144,90,top
C10,100n,C_0402_1005Metric,64.522265,-22.219144,90,top
C11,100n,C_0402_1005Metric,69.222265,-38.339144,-90,top
C12,100n,C_0402_1005Metric,65.222265,-38.359144,-90,top
C13,100n,C_0402_1005Metric,58.902265,-27.519144,180,top
C14,100n,C_0402_1005Metric,60.322265,-34.169144,180,top
C15,0.1u,C_0402_1005Metric,55.522265,-30.569144,180,top
C16,0.1u,C_0402_1005Metric,57.922265,-33.569144,-90,top
C17,4.7u,C_0402_1005Metric,71.522265,-24.519144,-90,top
C18,4.7u,C_0402_1005Metric,69.272265,-24.769144,0,top
C19,4.7u,C_0402_1005Metric,69.272265,-23.769144,0,top
C21,0.1u,C_0402_1005Metric,78.522265,-32.019144,-90,top
C22,0.1u,C_0402_1005Metric,78.022265,-34.769144,-90,top
C23,0.1u,C_0402_1005Metric,80.422265,-31.919144,0,top
C24,22pF,C_0402_1005Metric,80.422265,-27.919144,0,top
C25,100n,C_0402_1005Metric,70.193434,-38.316937,-90,top
C26,1u,C_0402_1005Metric,39.222265,-26.969144,-90,top
C27,1u,C_0402_1005Metric,34.222265,-26.969144,-90,top
C28,1u,C_0402_1005Metric,39.222265,-31.356644,-90,top
C29,1u,C_0402_1005Metric,34.472265,-31.369144,-90,top
C30,1u,C_0402_1005Metric,39.109765,-35.969144,-90,top
C31,1u,C_0402_1005Metric,34.359765,-35.969144,-90,top
C32,100n,C_0402_1005Metric,78.522265,-30.019144,90,top
D1,LED,D_0603_1608Metric,26.672265,-27.019144,0,top
D2,LED,D_0603_1608Metric,26.634765,-30.019144,0,top
D3,LED,D_0603_1608Metric,26.672265,-33.019144,0,top
D4,LED,D_0603_1608Metric,26.672265,-36.019144,0,top
J2,Conn_02x04_Counter_Clockwise,Molex_SlimStack_502426-0810_2x04_P0.40mm_Vertical,67.422265,-18.706644,180,top
J3,Conn_02x07_Counter_Clockwise,Molex_SlimStack_502426-1410_2x07_P0.40mm_Vertical,65.772265,-44.731644,0,top
J7,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,38.082265,-19.569144,90,top
L1,3.3u,L_pol_2016,69.272265,-22.019144,0,top
R1,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,61.422265,-32.519144,-90,top
R2,33,R_0402_1005Metric,71.522265,-22.519144,90,top
R3,27,R_0402_1005Metric,66.522265,-22.219144,-90,top
R4,27,R_0402_1005Metric,67.522265,-22.219144,-90,top
R6,1k,R_0402_1005Metric,63.522265,-22.219144,90,top
R9,0R,R_0402_1005Metric,80.422265,-36.019144,0,top
R10,DNF,R_0402_1005Metric,66.222265,-38.339144,-90,top
R11,0R,R_0402_1005Metric,80.402265,-28.919144,0,top
R12,10k,R_0402_1005Metric,80.422265,-34.919144,180,top
R13,0R,R_0402_1005Metric,80.402265,-29.919144,0,top
R14,10k,R_0402_1005Metric,80.422265,-33.919144,180,top
R15,1k,R_0402_1005Metric,70.412265,-41.269144,0,top
R16,10k,R_0402_1005Metric,80.422265,-32.919144,180,top
R17,10k,R_0402_1005Metric,80.422265,-30.919144,0,top
R18,10k,R_0402_1005Metric,29.922265,-27.019144,180,top
R19,10k,R_0402_1005Metric,29.884765,-30.019144,180,top
R20,10k,R_0402_1005Metric,29.922265,-33.019144,180,top
R21,10k,R_0402_1005Metric,29.922265,-36.019144,180,top
U1,ICM-45686,IC_ICM-45686,58.672265,-30.319144,-90,top
U3,RP2350_60QFN,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,66.9,-30.3125,0,top
U4,TLV75533PDRV,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,36.722265,-27.069144,0,top
U5,TLV73328PDRV,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,36.722265,-31.369144,0,top
U6,TLV73315PDRV,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,36.622265,-35.819144,0,top
Y1,SiT8008xx-1x-xxE,Oscillator_SMD_SiT_PQFN-4Pin_2.5x2.0mm,72.778434,-38.371937,0,top
